Order Date,SKU,Item,Variant,Quantity,Value,Delivery Date,Delivery Time
2025-09-04 18:46:03+08:00,DC8036/3045WH-AD,Union 80cm Chest of 6 Drawers - Maple White / Assembly,Maple White / Assembly,1,,,
2025-09-04 16:18:44+08:00,TV24/1.6/3075-AD,Hamburg 1.6m Walnut TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,293.02,,
2025-09-04 16:18:44+08:00,,2 cable hole,,1,,,
2025-09-04 16:06:13+08:00,SC5(X2),Vegas Oak 1.2m Wide 1.62m High Shoe Cabinet,,1,299.0,,
2025-09-04 11:57:35+08:00,SB8083/3045-AD,Richie 80cm Shoe Cabinet - Maple / Assembly,Maple / Assembly,1,0.0,,
2025-09-04 11:48:09+08:00,,Custom sale,,1,0.0,,
2025-09-04 11:46:34+08:00,,Custom sale,,1,0.0,,
2025-09-03 18:27:19+08:00,SC15,Vegas 90cm Oak Shoe Cabinet,,1,149.0,,
2025-09-03 13:48:28+08:00,SB1283/3045-AD,Richmond 1.2m Maple Shoe Cabinet - Maple / Assembly,Maple / Assembly,1,615.6,,
2025-09-03 13:48:28+08:00,SR2/3045WH-AD,Bremen 80cm Maple/White Storage Cabinet - Maple White / Assembly,Maple White / Assembly,1,,,
2025-09-03 13:48:28+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-03 13:48:28+08:00,,Legs Upgrade - 10cm Black PVC,10cm Black PVC,1,,,
2025-09-02 18:53:23+08:00,SR6/3036WH-AD,Hamburg 1.4m Pine/White Sideboard - Oak White / Assembly,Oak White / Assembly,1,329.0,,
2025-09-02 11:56:43+08:00,TV1672/3075-AD,Linwood Walnut 1.6m TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,351.82,,
2025-09-02 11:56:43+08:00,,Legs Upgrade - Metal to Wood,Metal to Wood,1,,,
2025-09-01 19:39:08+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,167.91,,
2025-09-01 19:39:08+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-01 19:11:20+08:00,SC15(X2)-AD,Vegas Oak 90cm Wide 162cm High Shoe Cabinet - Oak W90cm High / Assembly,Oak W90cm High / Assembly,1,439.04,2025-09-07 23:17:41+08:00,2025-09-07 23:17:41+08:00
2025-09-01 19:11:20+08:00,SC4(X2)-AD,Vegas Oak 60cm Wide 162cm High Shoe Cabinet - Oak W60cm High / Assembly,Oak W60cm High / Assembly,1,,,
2025-09-01 17:18:16+08:00,,Test,,1,0.0,,
2025-09-01 17:07:10+08:00,,Test,,1,0.0,,
2025-09-01 17:02:50+08:00,,Test,,1,0.0,,
2025-09-01 15:12:08+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,275.82,,
2025-09-01 15:12:08+08:00,SC15,Vegas 90cm Oak Shoe Cabinet,,1,,,
2025-09-01 11:09:08+08:00,SC15/WAL-AD,Vegas 90cm Walnut Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,275.82,,
2025-09-01 11:09:08+08:00,SC15/WAL,Vegas 90cm Walnut Shoe Cabinet,,1,,,
2025-08-31 23:08:08+08:00,SC5(X2)-AD,Vegas Oak 1.2m Wide 162m High Shoe Cabinet - Oak W120cm High / Assembly,Oak W120cm High / Assembly,1,299.0,,
2025-08-31 20:52:04+08:00,SR2/3075-AD,Bremen 80cm Walnut Storage Cabinet - Walnut / Assembly,Walnut / Assembly,1,312.62,,
2025-08-31 20:52:04+08:00,,Legs Upgrade - Wood to Metal,Wood to Metal,1,,,
2025-08-31 19:24:34+08:00,WD8003/3036-AD,Vela 80cm Modular Wardrobe - Pine / Assembly,Pine / Assembly,1,1021.78,,
2025-08-31 19:24:34+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-31 19:24:34+08:00,TV25/3045,Hamburg 1.8m Maple TV Console Cabinet - Maple / Assembly,Maple / Assembly,1,,,
2025-08-31 19:24:34+08:00,TV25/3045-AD,Hamburg 1.8m Maple TV Console Cabinet - 1.8m Maple / Assembly,1.8m Maple / Assembly,1,,,
2025-08-31 18:11:47+08:00,,Customisation Fee,,1,419.0,,
2025-08-31 18:11:47+08:00,,Divan - Add 2 inch,Add 2 inch,1,,,
2025-08-31 18:11:47+08:00,KHB-KHJ03/Divan/PU/SuperSingle,Spring Divan Bedframe - Super Single / Faux Leather,Super Single / Faux Leather,1,,,
2025-08-31 17:56:51+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,195.02,,
2025-08-31 17:56:51+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-31 16:31:56+08:00,SC4-AD,Vegas 60cm Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,2,428.0,,
2025-08-31 16:31:56+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-31 16:31:56+08:00,SC4(X2),Vegas Oak 60cm Wide 1.62m High Shoe Cabinet,,1,,,
2025-08-31 15:53:18+08:00,SB8083/3045-AD,Richie 80cm Shoe Cabinet - Maple / Assembly,Maple / Assembly,1,224.42,,
2025-08-31 14:44:29+08:00,DC1254/3036WH-AD,Cubic 1.2m Pine/White Chest Sideboard - Pine White / Assembly,Pine White / Assembly,1,410.62,,
2025-08-31 14:44:29+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-31 14:42:23+08:00,SI1295/3045-AD,Manhattan Flat Top 1.2m Maple Sideboard - V1 Maple / Assembly,V1 Maple / Assembly,1,590.32,2025-09-07 23:17:26+08:00,2025-09-07 23:17:26+08:00
2025-08-31 14:42:23+08:00,SS6202/3045-AD,Warwick 60cm Maple Bookcase Display Shelf - Maple / Assembly,Maple / Assembly,1,,,
2025-08-31 14:25:18+08:00,SC4/WAL-AD,Vegas 60cm Walnut 2-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,268.0,,
2025-08-31 14:25:18+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-31 14:25:18+08:00,SC4/WAL,Vegas 60cm Walnut 2-Door Shoe Cabinet,,1,,,
2025-08-31 10:59:19+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,321.44,,
2025-08-31 10:59:19+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,,,
2025-08-31 10:59:19+08:00,SC15,Vegas 90cm Oak Shoe Cabinet,,1,,,
2025-08-30 23:22:08+08:00,SC5(X2)-AD,Vegas Oak 1.2m Wide 162m High Shoe Cabinet - Oak W120cm High / Assembly,Oak W120cm High / Assembly,1,299.0,,
2025-08-30 19:49:28+08:00,SC4(X2)/WAL-AD,Vegas Walnut 60cm Wide 162cm High Shoe Cabinet - Walnut W60cm High / Assembly,Walnut W60cm High / Assembly,1,419.44,,
2025-08-30 19:49:28+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-30 19:49:28+08:00,SC4(X2)/WAL,Vegas Walnut 60cm Wide 1.62m High Shoe Cabinet,,1,,,
2025-08-30 19:46:06+08:00,SB6304/3064-AD,Nara 60cm Wide 1.8m Espresso Tall Shoe Cabinet - Espresso / Assembly,Espresso / Assembly,1,326.74,,
2025-08-30 19:24:46+08:00,SR4/3075-AD,Munich 1.2m Walnut Highboard Storage Cabinet - Walnut / Assembly,Walnut / Assembly,1,391.02,,
2025-08-30 18:59:03+08:00,SB1048/3075,Vernetta 100cm Walnut Sliding Shoe Bench with Cushion - Walnut / Assembly,Walnut / Assembly,1,293.02,,
2025-08-30 16:21:09+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,360.64,,
2025-08-30 16:21:09+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-30 16:21:09+08:00,SC5/WAL,Vegas 1.2m Walnut 4-Door Shoe Cabinet,,1,,,
2025-08-30 15:54:04+08:00,B16LD-KHJ03/Storage/Amber/Queen,Spring Storage Bedframe - Queen / Fabric,Queen / Fabric,1,616.42,,
2025-08-30 15:43:25+08:00,SS6202/3075-AD,Warwick 60cm Walnut Bookcase Display Shelf - Walnut / Assembly,Walnut / Assembly,1,322.42,,
2025-08-30 15:43:25+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-30 12:02:08+08:00,SC4(X2)/WAL-AD,Vegas Walnut 60cm Wide 162cm High Shoe Cabinet - Walnut W60cm High / Assembly,Walnut W60cm High / Assembly,1,195.02,2025-09-07 23:17:43+08:00,2025-09-07 23:17:43+08:00
2025-08-30 09:57:47+08:00,TV24/1.6/3075-AD,Hamburg 1.6m Walnut TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,269.0,2025-09-07 23:17:40+08:00,2025-09-07 23:17:40+08:00
2025-08-29 20:30:35+08:00,SC5(X2)-AD,Vegas Oak 1.2m Wide 162m High Shoe Cabinet - Oak W120cm High / Assembly,Oak W120cm High / Assembly,1,293.02,2025-09-07 23:17:34+08:00,2025-09-07 23:17:34+08:00
2025-08-29 20:19:27+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,165.62,2025-09-07 23:17:35+08:00,2025-09-07 23:17:35+08:00
2025-08-29 17:13:23+08:00,TV1634/3075-AD,Paisley 1.6m Walnut TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,269.0,2025-09-07 23:17:42+08:00,2025-09-07 23:17:42+08:00
2025-08-29 14:07:22+08:00,DC1289/3018WH,Nora 60cm 4-Drawer Oak/White Chest of Drawers - Oak White / Assembly,Oak White / Assembly,1,501.6,,
2025-08-29 14:07:22+08:00,SC4(X2)-AD,Vegas Oak 60cm Wide 162cm High Shoe Cabinet - Oak W60cm High / Assembly,Oak W60cm High / Assembly,1,,,
2025-08-28 20:23:23+08:00,SC5-AD,Vegas 1.2m Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,331.24,,
2025-08-28 20:23:23+08:00,SC5,Vegas 1.2m Oak Shoe Cabinet,,1,,,
2025-08-28 18:13:13+08:00,SI1885/3064-AD,Monaco 1.8m Espresso 4-Door Sideboard - Espresso / Assembly,Espresso / Assembly,1,840.84,,
2025-08-28 18:13:13+08:00,SI1885/3075-AD,Monaco 1.8m Walnut 4-Door Sideboard - Walnut / Assembly / 95cm,Walnut / Assembly / 95cm,1,,,
2025-08-28 17:25:44+08:00,SC4(X2)/WAL-AD,Vegas Walnut 60cm Wide 162cm High Shoe Cabinet - Walnut W60cm High / Assembly,Walnut W60cm High / Assembly,1,390.04,,
2025-08-28 17:25:44+08:00,SC4(X2)-AD,Vegas Oak 60cm Wide 162cm High Shoe Cabinet - Oak W60cm High / Assembly,Oak W60cm High / Assembly,1,,,
2025-08-28 14:47:10+08:00,SI1685/3101-AD,Monaco 1.6m Ash 4-Door Sideboard - Ash / 95cm / Assembly,Ash / 95cm / Assembly,1,381.22,,
2025-08-28 14:47:10+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-28 14:43:59+08:00,SF50,Industrial Grade Stretch Film Shrink Wrap - Clear,Clear,3,30.0,2025-09-07 23:17:38+08:00,2025-09-07 23:17:38+08:00
2025-08-28 13:29:51+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,165.62,2025-09-07 23:17:37+08:00,2025-09-07 23:17:37+08:00
2025-08-27 11:48:35+08:00,SI1295/3075-AD,Manhattan Flat Top 1.2m Walnut Sideboard - V1 Walnut / Assembly,V1 Walnut / Assembly,1,546.84,,
2025-08-27 11:48:35+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,,,
2025-08-27 11:48:35+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,2,,,
2025-08-25 19:29:00+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,169.0,2025-09-07 23:17:36+08:00,2025-09-07 23:17:36+08:00
2025-08-25 17:13:30+08:00,SC15/WAL-AD,Vegas 90cm Walnut Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,292.04,,
2025-08-25 17:13:30+08:00,SC15/WAL,Vegas 90cm Walnut Shoe Cabinet,,1,,,
2025-08-25 14:42:01+08:00,SC5(X2)/WAL-AD,Vegas Walnut 1.2m Wide 162cm High Shoe Cabinet - Walnut W120cm High / Assembly,Walnut W120cm High / Assembly,1,371.42,2025-09-07 23:17:44+08:00,2025-09-07 23:17:44+08:00
2025-08-25 14:42:01+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-25 14:42:01+08:00,,Legs Upgrade - Wheels,Wheels,1,,,
2025-08-25 14:25:03+08:00,DC1408/3045WH,Alexis 1.4m Maple/White 4x2 Dresser - Maple/White / Assembly,Maple/White / Assembly,1,489.02,,
2025-08-25 11:47:32+08:00,SC4-AD,Vegas 60cm Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,119.0,2025-09-07 23:17:33+08:00,2025-09-07 23:17:33+08:00
2025-08-25 08:42:00+08:00,SB1048/3075,Vernetta 100cm Walnut Sliding Shoe Bench with Cushion - Walnut / Assembly,Walnut / Assembly,1,448.0,,
2025-08-25 08:42:00+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,,,
2025-08-25 02:16:06+08:00,SC4(X2)-AD,Vegas Oak 60cm Wide 162cm High Shoe Cabinet - Oak W60cm High / Assembly,Oak W60cm High / Assembly,1,199.0,2025-09-04 11:42:02+08:00,2025-09-04 11:42:02+08:00
2025-08-24 21:30:09+08:00,SC4/WAL-AD,Vegas 60cm Walnut 2-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,103.58,2025-09-07 23:17:31+08:00,2025-09-07 23:17:31+08:00
2025-08-24 19:04:08+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,146.49,2025-09-07 23:17:31+08:00,2025-09-07 23:17:31+08:00
2025-08-24 16:40:50+08:00,SB8083/3075-ADx2,Richie 80cm Walnut High Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,440.02,2025-09-07 23:17:30+08:00,2025-09-07 23:17:30+08:00
2025-08-24 16:11:59+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,175.42,2025-09-07 23:17:29+08:00,2025-09-07 23:17:29+08:00
2025-08-24 16:11:59+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-24 15:53:28+08:00,SB1283/3075-AD,Richmond 1.2m Walnut Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,2,625.1,,
2025-08-24 15:53:28+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,2,,,
2025-08-24 14:48:57+08:00,SS6202/3075-AD,Warwick 60cm Walnut Bookcase Display Shelf - Walnut / Assembly,Walnut / Assembly,1,293.02,,
2025-08-24 14:29:05+08:00,SI1685/3064-AD,Monaco 1.6m Espresso 4-Door Sideboard - Espresso / 95cm / Assembly,Espresso / 95cm / Assembly,1,351.82,,
2025-08-24 14:24:07+08:00,Basic/DivanSet/PU/Super Single,Basic Divan Bed and Mattress Set - Super Single / Faux Leather,Super Single / Faux Leather,1,459.62,,
2025-08-23 21:04:22+08:00,SB6304/3064-AD,Nara 60cm Wide 1.8m Espresso Tall Shoe Cabinet - Espresso / Assembly,Espresso / Assembly,1,381.22,,
2025-08-23 21:04:22+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-23 17:41:54+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,149.0,2025-09-07 23:17:29+08:00,2025-09-07 23:17:29+08:00
2025-08-23 14:45:07+08:00,SC4-AD,Vegas 60cm Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,438.06,,
2025-08-23 14:45:07+08:00,SC15/WAL-AD,Vegas 90cm Walnut Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,,,
2025-08-23 14:45:07+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-23 14:45:07+08:00,SC15/WAL,Vegas 90cm Walnut Shoe Cabinet,,1,,,
2025-08-23 14:09:23+08:00,SB8083/3036-AD,Richie 80cm Shoe Cabinet - Pine / Assembly,Pine / Assembly,1,229.0,2025-09-07 23:17:27+08:00,2025-09-07 23:17:27+08:00
2025-08-23 13:48:12+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,165.62,2025-09-07 23:17:26+08:00,2025-09-07 23:17:26+08:00
2025-08-23 11:39:06+08:00,SB8322/3036,Tomi 80cm Pine Storage Cabinet - Pine / Assembly,Pine / Assembly,1,293.02,,
2025-08-23 11:15:20+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,195.02,,
2025-08-23 11:15:20+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-23 10:42:38+08:00,,Legs Upgrade - 15cm Metal,15cm Metal,1,400.82,,
2025-08-23 10:42:38+08:00,DC1232/3075-AD,Eve 1.2m Walnut Chest Sideboard - Walnut / Assembly,Walnut / Assembly,1,,,
2025-08-22 20:37:14+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,288.0,,
2025-08-22 20:37:14+08:00,SC4/WAL-AD,Vegas 60cm Walnut 2-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,,,
2025-08-22 20:04:23+08:00,Elite/DivanSet/PU/Queen,Elite Divan Bed and Mattress Set - Queen / Faux Leather,Queen / Faux Leather,1,1186.55,,
2025-08-21 19:50:08+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,146.49,2025-09-07 23:17:24+08:00,2025-09-07 23:17:24+08:00
2025-08-21 18:53:21+08:00,SC5-AD,Vegas 1.2m Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,195.02,2025-09-07 23:17:24+08:00,2025-09-07 23:17:24+08:00
2025-08-21 18:53:21+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-20 22:37:17+08:00,WD8003-AD,Vela 80cm Modular Wardrobe - Custom / Assembly,Custom / Assembly,1,449.82,,
2025-08-20 20:25:30+08:00,SC18/WAL-AD,Texas 1.2m Walnut Shoe Cabinet - Assembly,Assembly,1,165.62,,
2025-08-20 16:28:02+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,334.62,,
2025-08-20 16:28:02+08:00,SC5-AD,Vegas 1.2m Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,,,
2025-08-20 15:21:20+08:00,SC15-AD,Vegas 90cm 3-Door Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,146.02,,
2025-08-20 14:11:37+08:00,TV25/3075,Hamburg 1.8m Walnut TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,322.42,2025-09-07 23:17:23+08:00,2025-09-07 23:17:23+08:00
2025-08-20 14:11:37+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-20 11:14:10+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,146.02,,
2025-08-20 11:14:10+08:00,SC4-AD,Vegas 60cm Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,,,
2025-08-19 15:39:01+08:00,SI1885/3045-AD,Monaco 1.8m Maple 4-Door Sideboard - Maple / Assembly,Maple / Assembly,1,1912.9,,
2025-08-19 15:39:01+08:00,SB8083/3045-ADx2,Richie 80cm Maple High Shoe Cabinet - Maple / Assembly,Maple / Assembly,1,,,
2025-08-19 15:39:01+08:00,TV1672/3045-AD,Linwood 1.6m Maple TV Console Cabinet - Maple / Assembly,Maple / Assembly,2,,,
2025-08-19 15:39:01+08:00,,Legs Upgrade - Metal to Wood,Metal to Wood,4,,,
2025-08-19 15:39:01+08:00,SR4/3036,Munich 1.2m Pine Highboard Storage Cabinet - Pine / Assembly,Pine / Assembly,1,,,
2025-08-19 13:42:08+08:00,SC5-AD,Vegas 1.2m Oak Shoe Cabinet - Oak / Assembly,Oak / Assembly,1,146.49,,
2025-08-18 22:37:09+08:00,TV1634/3045-AD,Paisley 1.6m Maple TV Console Cabinet - Maple / Assembly,Maple / Assembly,1,299.0,,
2025-08-18 22:37:09+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-18 22:00:12+08:00,SB6304/3045-AD,Nara 60cm Wide 1.8m Maple Tall Shoe Cabinet - Maple / Assembly,Maple / Assembly,1,359.0,,
2025-08-18 18:14:43+08:00,SC5/WAL-AD,Vegas 1.2m Walnut 4-Door Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,165.62,,
2025-08-18 17:36:22+08:00,SB8083/4049,Richie 80cm Shoe Cabinet - Cement / Assembly,Cement / Assembly,1,693.84,,
2025-08-18 17:36:22+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-08-18 17:36:22+08:00,,Custom Furniture - Stock / Others,Stock / Others,1,,,
2025-08-18 15:08:07+08:00,SB8311/3018WH-AD,Brighton 80cm Oak/White Shoe Cabinet - Oak/White / Assembly,Oak/White / Assembly,1,567.64,,
